	adels_att	count
Seele	0.06150338798761368	12
«	1173.419921875	4647
pflegte	455.8650207519531	2
immer	0.1523330956697464	676
sagen	0.01797950081527233	325
schob	0.09819982200860977	55
Beschwerden	0.019158292561769485	10
auf	0.30169785022735596	2441
Man	0.13745373487472534	75
gräbt	0.03481562063097954	1
mit	0.01753600686788559	2443
Zähnen	0.05022990331053734	2
Grab	0.0036371012683957815	4
erwiderte	0.4555695056915283	219
ihrerseits	0.01639479771256447	1
düster	8.559320449829102	8
meist	0.015188023447990417	17
vorübergehend	0.0011782606597989798	2
zum	0.2560550570487976	476
Verstummen	0.00060964998556301	1
brachte	0.31482619047164917	92
Heute	0.0009159509791061282	33
jedoch	0.02002428099513054	94
„Ich	0.23911044001579285	777
muss	0.8367630243301392	267
nachdenken	0.03302984684705734	18
“	0.747367799282074	5772
„Dominic	22.283584594726562	3
will	14.503274917602539	224
bei	2.4794888496398926	624
Geburt	0.3631788492202759	47
dabei	0.010712184011936188	174
sein	0.03120969422161579	1054
sagte	1.198410153388977	1037
Cat	42.45767593383789	96
als	0.05726564675569534	1454
Gemma	7.983551979064941	57
sie	0.14331753551959991	6916
fertig	0.10566801577806473	55
untersucht	0.30047905445098877	8
„Und	0.10865423083305359	175
willst	31.824249267578125	96
du	0.1405423879623413	1968
?	0.04795367643237114	3264
Fragend	18.990337371826172	6
sah	3.651440143585205	534
weiß	0.02906494028866291	289
es	0.37106314301490784	3007
gestand	0.31495556235313416	34
wünschte	0.06994148343801498	51
wir	0.0742204338312149	786
hätten	0.0239785835146904	58
mehr	0.02523956075310707	654
Zeit	0.0027648843824863434	356
um	0.3980253338813782	1160
uns	0.05073821172118187	379
alles	2.300739049911499	541
überlegen	0.6786773800849915	18
...	83.05948638916016	779
„Ihr	145.05422973632812	13
hättet	0.2998109459877014	5
gehabt	0.0170777328312397	87
ihm	1.841341257095337	1187
eher	0.1469820886850357	46
erzählt	0.08491382002830505	78
hättest	0.3437219262123108	42
„Ja	0.3044276833534241	190
denkt	0.8635005354881287	14
Dominic	86.38177490234375	43
sicher	2.28348445892334	194
Ich	0.011380452662706375	1522
hätte	0.13474318385124207	480
fast	0.07644277065992355	121
von	0.06733569502830505	1368
gab	0.2160634696483612	273
ich	3.0757853984832764	3166
irgendwann	1.2367658615112305	27
tun	0.009053332731127739	231
Aber	0.016768744215369225	672
vermisse	0.09911608695983887	3
jeden	0.1531980186700821	71
Tag	0.025148656219244003	207
all	0.08016625046730042	54
Dinge	0.03661087900400162	60
erleben	0.024777423590421677	10
durfte	0.5332367420196533	63
erzähle	20.627853393554688	8
werde	0.0695105642080307	279
garantiert	0.3500145971775055	6
losheulen	0.29397454857826233	1
Sie	2.260833978652954	2872
erwartete	0.18863922357559204	19
einen	0.025137677788734436	1158
strengen	0.08346753567457199	9
Gesichtsausdruck	0.48290038108825684	9
doch	0.004313420504331589	891
wunderbare	0.2156488448381424	11
Freundin	3.298251152038574	89
Tränen	0.16714641451835632	95
Augen	1.079793095588684	413
nur	0.689399003982544	922
Welt	0.020550981163978577	105
gebracht	0.1009981706738472	76
Patin	0.018894137814641	1
gewesen	0.1827002465724945	338
gehalten	0.11034214496612549	26
Liebe	0.7725569605827332	117
geschenkt	0.08497084677219391	18
musste	0.06797514855861664	343
unter	0.41970768570899963	198
allen	0.013114646077156067	54
Umständen	0.1882603019475937	15
für	0.008515657857060432	1102
behalten	0.010948488488793373	25
denn	0.056010566651821136	450
gelang	0.009279162622988224	23
ihr	0.008743179962038994	1878
kaum	1.8741040229797363	119
teilen	0.5452194213867188	10
Wie	0.048044733703136444	266
sollte	58.425506591796875	260
einem	0.017953263595700264	706
Mann	0.04771067947149277	401
anvertrauen	0.008668160997331142	5
dessen	0.03314243629574776	39
Bett	0.7109349966049194	156
gerade	0.19994117319583893	265
einmal	0.00966616254299879	359
eine	7.744775772094727	1513
Nacht	0.029178086668252945	99
verbracht	0.013053329661488533	20
Nein	0.003273305017501116	158
über	0.08831822872161865	580
wissen	0.03200240060687065	184
Es	7.691272258758545	756
viel	0.3694031834602356	369
besprechen	0.5313078165054321	19
aber	0.004240871407091618	1193
aßen	0.10735253989696503	9
schweigend	33.7286491394043	11
weiter	0.13073387742042542	133
jeder	0.02813233807682991	63
eigenen	3.3968868255615234	58
versunken	0.05971195548772812	10
„Weißt	0.2866547107696533	14
heißen	0.43956121802330017	24
soll	0.010627221316099167	141
fragte	0.038188204169273376	507
Besteck	0.7006537914276123	5
beiseitelegten	0.003956624772399664	1
„Bisher	0.018175523728132248	1
nie	0.08563506603240967	255
gedacht	0.033934205770492554	70
mal	2.8824214935302734	361
Babynamen	0.07615296542644501	1
durchgehen	3.831557512283325	2
