	adels_att	count
festhalten	0.027736354619264603	3
baumelte	0.32542338967323303	1
stieß	0.3338792324066162	142
Beinen	0.00717564020305872	38
mehrfach	0.08768118917942047	9
Draht	72.94100952148438	3
sodass	0.35369837284088135	3
Zaun	1.060501217842102	5
schepperte	0.35957756638526917	1
Wachen	6.047918319702148	14
zogen	0.934543251991272	28
quiekenden	11.099985122680664	1
Jokus	5.60280704498291	2
aus	0.09122882038354874	1480
Sorkar	268.89764404296875	9
schloss	0.2796322703361511	82
ihnen	12.215495109558105	408
ab	13.004071235656738	321
behielt	0.8340933322906494	12
Schlüssel	0.6353832483291626	9
Lollop	348.4768371582031	2
bockte	0.04190165176987648	1
kreischende	0.005384777672588825	1
Laute	0.07298169285058975	7
paar	0.5483972430229187	135
Schläge	0.23858076333999634	4
ins	0.05111267417669296	189
Genick	0.12822195887565613	3
machten	0.04580531269311905	37
ihm	1.091178297996521	991
zitterndes	0.0021634839940816164	1
Fellknäuel	5.310070514678955	1
Khalin	58.06057357788086	25
flehend	0.04149765893816948	2
leises	0.25978386402130127	10
Fiepen	0.7756771445274353	2
drang	0.43821951746940613	26
Mund	0.04819737747311592	47
Rüssel	55.81902313232422	4
beobachtete	1.436168909072876	48
Linken	0.3890538811683655	3
hielt	0.19919732213020325	181
hinein	34.19110870361328	72
Wütend	0.09762690216302872	6
schob	0.22863425314426422	75
Riegel	0.7628028392791748	4
vor	67.42277526855469	812
Schritten	0.019169747829437256	21
bei	0.07938427478075027	357
Busch	0.09999201446771622	2
spähte	0.4441429376602173	9
zwischen	0.28722628951072693	237
brüchigen	0.2484925389289856	2
Äste	0.31564897298812866	10
Angesichts	0.13827252388000488	3
trüben	0.9411575794219971	4
Lichts	0.21234655380249023	2
ce	0.06353089958429337	49
Ratte	5.385761737823486	1
wieder	0.31061580777168274	721
einzufangen	0.042151376605033875	5
gleich	3.9673545360565186	75
nan	3.3747942447662354	3
Verfluchtes	0.061580412089824677	1
Zwielicht	43.19047546386719	5
dachte	0.09883248060941696	130
Zuko	4343.67626953125	18
warf	0.7456216216087341	121
Blick	209.61526489257812	140
grauen	0.8793482780456543	14
Himmel	0.8908385634422302	56
hinauf	0.07817572355270386	32
Leichentuch	0.004334749188274145	1
Erde	2.751858711242676	44
hing	0.1506667286157608	39
je	0.05444180965423584	43
hell	0.03918244689702988	25
wird	0.015191884711384773	409
Noch	0.181649848818779	116
kichernd	0.8840215802192688	1
wischte	4.405175685882568	18
Hoa	428.6023254394531	14
Lachtränen	0.5346245169639587	1
Augen	1.8136069774627686	294
„Ist	0.00447499705478549	4
egal	0.07924869656562805	12
Wir	1.2278960943222046	661
genug	0.014597062952816486	130
Biestern	39.0087776184082	1
wies	28.704870223999023	27
Dutzend	7.3531646728515625	35
schuhkartongroßen	8.242959976196289	1
Käfige	38.99143981933594	3
denen	0.41962775588035583	132
quiekend	0.2951449453830719	1
zischend	0.012071702629327774	3
Ratten	25.850278854370117	5
wanden	0.02258104272186756	2
„Wir	0.38343122601509094	15
Lager	0.0869750827550888	20
zurückkehren	11.756364822387695	19
nickte	119.08030700683594	129
widerwillig	1.639127492904663	4
recht	0.04192585498094559	66
hatten	0.032162219285964966	571
reichlich	0.9141864776611328	6
eingefangen	0.20511293411254883	6
Doch	10.848709106445312	138
ärgerte	0.3772963583469391	5
Tiere	5.757929801940918	57
entkommen	0.7848356366157532	27
stellte	0.282670259475708	175
Käfig	0.2062414586544037	10
anderen	47.91279602050781	413
Ladefläche	0.7391970753669739	4
Pick-ups	4.712832927703857	1
schwang	0.19320914149284363	21
Fahrersitz	0.29885661602020264	2
stieg	3.7031350135803223	42
Beifahrerseite	0.7340265512466431	2
Zeigefinger	0.04031504690647125	6
Armen	0.09912849217653275	25
Tom	698.208984375	68
dunklen	0.5901452898979187	24
muffigen	0.36762064695358276	1
Hinterhof	0.49631980061531067	3
gedrückt	0.08307549357414246	3
gefesselt	0.9045225381851196	7
Streifen	0.16491810977458954	9
Paketband	0.01692577823996544	1
geknebelt	0.09803089499473572	1
wurde	56.323081970214844	563
Während	1.2686265707015991	66
wand	0.12940713763237	6
hoffte	2.1303532123565674	25
fast	0.19338998198509216	195
selbstverständlich	0.06579441577196121	11
Auftauchen	0.9925702810287476	16
seines	0.02955949679017067	109
geheimnisvollen	1.431981086730957	10
Helfers	0.4932105541229248	2
dieses	0.47019341588020325	167
Mal	0.04123467952013016	85
kam	0.013607215136289597	304
Verfolgung	0.17008334398269653	14
nachhaltig	0.44387286901474	4
verscheucht	0.011466220021247864	1
Pick-up	8.530570983886719	1
fuhr	0.08354122191667557	112
Paket	0.07826060056686401	7
geworfen	0.5257394313812256	9
fünf	0.4670388698577881	69
Männer	1.178081750869751	183
Schneidersitz	0.005419305991381407	2
um	0.3564318120479584	1113
herum	1.6912648677825928	133
Rest	0.011139463633298874	29
enterte	1.5828280448913574	2
Fahrerkabine	0.33188697695732117	1
Nach	0.13840225338935852	82
Fahrt	57.928279876708984	26
bekam	0.2161855250597	43
Augenbinde	0.015962475910782814	1
verpasst	0.01289317011833191	2
erst	0.04546228423714638	161
abgenommen	0.0821448564529419	8
eingerichteten	0.1966698169708252	3
schäbigen	0.733481228351593	1
Zimmer	0.07143957912921906	32
Stuhl	56.36117935180664	8
saß	2.545241355895996	42
Nur	0.08510325849056244	144
älterer	1.2293128967285156	1
blieb	0.015594063326716423	184
verschwanden	0.13317887485027313	27
Gleich	0.14151731133460999	17
darauf	0.06257101148366928	215
trat	0.9197204113006592	83
Cordovas	0.0011204526526853442	1
Kontaktperson	21.20009994506836	1
Pferdeschwanz-	0.0006845457246527076	1
schien	2078.275390625	221
unsicher	59.77313995361328	15
musterte	0.19060620665550232	27
wusste	0.061504852026700974	276
wohl	2.4261770248413086	112
Gespräch	0.16771343350410461	23
eröffnen	0.6359944939613342	3
Seine	8979.3125	157
flackerten	5.78309440612793	4
unstet	0.14329971373081207	1
Was	0.11165018379688263	371
gibt	53.71055221557617	152
hier	6.1837005615234375	424
für	20.798931121826172	877
verwachsenen	0.13527080416679382	1
Held	0.019987374544143677	11
„Nie	9.69469765550457e-05	1
soll	42.580223083496094	96
Bestie	0.5627750754356384	12
angreifen	3.066359281539917	12
Wünscht	0.047957248985767365	1
