	adels_att	count
Bleibt	34.45036697387695	2
offenbar	3.2385659217834473	75
Sicherheit	0.09168177098035812	58
wähnt	1.7688605785369873	2
Seinen	0.11484652012586594	6
Anwälten	0.1893441081047058	6
Vergangenheit	0.09553308039903641	15
immer	0.7153274416923523	381
gelungen	0.9194637537002563	23
Anschuldigungen	28.837697982788086	5
jeglicher	0.1634066104888916	9
Art	0.8037926554679871	115
abzuschmettern	0.04345940053462982	2
bedenken	3.5045299530029297	18
unseren	0.16283124685287476	78
vielseitigen	0.6289827823638916	2
Großunternehmer	0.5179758071899414	2
vollendete	0.17535297572612762	2
Tatsachen	1.1289465427398682	10
stellen	0.028607696294784546	46
*	0.05010196194052696	652
Windeseile	2.790836811065674	2
Nachricht	0.11354130506515503	27
SRT	204.7640838623047	4
Tastatur	0.26787135004997253	7
Wenn	0.040674708783626556	357
über	0.05969466269016266	647
Liste	0.2518966794013977	37
Übereinstimmung	0.8219982981681824	7
Leichen	1.3560619354248047	37
Landsdale	102.75157165527344	8
ergeben	0.13614323735237122	22
sollte	0.21607957780361176	218
könnte	0.07166873663663864	214
dennoch	0.07304073125123978	31
Vorgehensweise	0.3683874011039734	11
handeln	1.1202144622802734	23
Es	0.7078354954719543	811
vage	0.13628385961055756	6
Vermutung	0.4834883213043213	18
weiß	0.011177265085279942	210
doch	0.41605427861213684	575
welchem	0.06839966773986816	15
neuen	13.287467002868652	55
verbrecherischen	0.7304142713546753	3
Trend	3.5528018474578857	2
tun	0.13509783148765564	259
besteht	0.018665961921215057	19
Möglichkeit	0.037518493831157684	47
Wespennest	5.076281547546387	3
gestochen	1.3390610218048096	5
versuchte	0.05021432042121887	92
erklären	0.16238918900489807	32
Klingt	0.08455520123243332	5
würdest	0.37229740619659424	11
einer	0.24796390533447266	752
rechnen	0.21100519597530365	18
zuckte	17675.03515625	69
Schultern	0.030229706317186356	69
Zusammenhang	0.03483734652400017	39
ausschließen	0.5345466136932373	9
würde	0.1058630645275116	438
Feld	2.7236673831939697	5
voller	0.09525130689144135	42
einbalsamierter	0.5450934171676636	2
wenige	167.409423828125	26
entfernt	0.1611393392086029	47
werden	0.07904346287250519	545
drei	0.4065709710121155	176
weitere	0.09780960530042648	73
inklusive	61.81317138671875	4
Bestatter	6.8502655029296875	5
vermisst	83.10310363769531	7
